,stn,dates,min_temp,max_temp,preci,rel_hum,evapo,sd,vp
0,275,01/01/2015 00:00,2.42,54.68,42.55,88.84,2.32,0.33,0.35
1,275,01/02/2015 00:00,-11.25,62.43,18.39,88.04,5.89,0.29,0.32
2,275,01/03/2015 00:00,6.39,101.45,26.87,80.81,11.45,0.27,2.02
3,275,01/04/2015 00:00,15.6,148.23,9.43,71.47,22.9,0.22,9.35
4,275,01/05/2015 00:00,53.55,173.19,23.68,71.61,25.94,0.16,2.73
5,275,01/06/2015 00:00,86.13,207.17,18.6,70.8,33.23,0.13,7.42
6,275,01/07/2015 00:00,125,234.84,42.19,75,32.48,0.88,1.45
7,275,01/08/2015 00:00,130.9,239.9,43.23,76.68,28.94,0.11,1.53
8,275,01/09/2015 00:00,87.57,178.27,26.27,85.4,15.9,0.27,2.58
9,275,01/10/2015 00:00,57.42,133,11.68,88.61,8.9,0.2,6.03
10,275,01/11/2015 00:00,61.5,121.87,50.43,88.6,4,0.16,5.33
11,275,01/12/2015 00:00,68.87,112.94,17.35,86.42,2.84,0.18,6.18
12,275,01/01/2016 00:00,8.06,64.06,38.16,91.03,2.81,0.14,0.41
13,275,01/02/2016 00:00,4.28,74.38,30.62,84.31,5.9,0.89,0.84
14,275,01/03/2016 00:00,5.13,90.35,16.84,80.94,10.58,0.18,1.52
15,275,01/04/2016 00:00,23.73,130.23,21.97,76.2,18.87,0.14,6.47
16,275,01/05/2016 00:00,86.42,196.77,36.32,70.16,28.55,0.97,6.68
17,275,01/06/2016 00:00,123.07,220.17,44.67,79.9,30.07,0.42,9.6
18,275,01/07/2016 00:00,124.35,231.29,20.35,78.26,30.1,0.67,1.2
19,275,01/08/2016 00:00,122,230.26,15.32,76.97,27.45,0.64,1.22
20,275,01/09/2016 00:00,114.43,234.43,9.43,74.23,22.03,0.64,1.31
21,275,01/10/2016 00:00,53.94,135.03,17.32,85.94,8.65,0.24,7.26
22,275,01/11/2016 00:00,12.17,81.33,25.93,89.13,3.73,0.98,0.83
23,275,01/12/2016 00:00,13.13,69.35,6.65,90.97,2.26,0.57,0.53
